timestamp,R_99
1579368695,114.29
1579368696,73.86
1579368697,83.1
1579368698,134.74
1579368699,98.11
1579368700,99.16
1579368701,107.09
1579368702,89.46
1579368703,87.23
1579368704,79.5
1579368705,67.76
1579368706,79.23
1579368707,125.63
1579368708,77.53
1579368709,104.01
1579368710,80.02
1579368711,158.6
1579368712,128.71
1579368713,83.62
1579368714,88.15
1579368715,91.82
1579368716,59.24
1579368717,74.84
1579368718,79.36
1579368719,76.41
1579368720,144.31
1579368721,112.72
1579368722,224.13
1579368723,127.8
1579368724,81.26
1579368725,67.57
1579368726,78.12
1579368727,167.51
1579368728,110.89
1579368729,93.45
1579368730,177.86
1579368731,120.78
1579368732,81.79
1579368733,267.91
1579368734,146.8
1579368735,74.97
1579368736,75.3
1579368737,71.37
1579368738,71.83
1579368739,77.92
1579368740,74.38
1579368741,51.97
1579368742,77.59
1579368743,73.07
1579368744,75.76
1579368745,78.58
1579368746,69.47
1579368747,112.26
1579368748,124.45
1579368749,86.18
1579368750,90.11
1579368751,81.59
1579368752,81.99
1579368753,73.27
1579368754,54.82
1579368755,103.09
1579368756,96.01
1579368757,85.46
1579368758,82.9
1579368759,61.31
1579368760,78.38
1579368761,107.54
1579368762,74.51
1579368763,114.62
1579368764,130.68
1579368765,92.21
1579368766,75.04
1579368767,141.43
1579368768,72.61
1579368769,80.15
1579368770,61.24
1579368771,71.57
1579368772,83.69
1579368773,90.05
1579368774,59.08
1579368775,77.14
1579368776,102.43
1579368777,54.07
1579368778,92.21
1579368779,77.14
1579368780,67.7
1579368781,94.7
1579368782,99.81
1579368783,125.83
1579368784,65.08
1579368785,87.1
1579368786,92.01
1579368787,317.19
1579368788,122.36
1579368789,84.74
1579368790,70.98
1579368791,66.91
1579368792,88.8
1579368793,66.55
1579368794,85.52
1579368795,75.76
1579368796,81.26
1579368797,75.17
1579368798,62.75
1579368799,73.99
1579368800,63.47
1579368801,69.21
1579368802,64.98
1579368803,62.06
1579368804,69.66
1579368805,116.79
1579368806,62.82
1579368807,65.4
1579368808,72.16
1579368809,59.31
1579368810,65.4
1579368811,81.53
1579368812,69.6
1579368813,66.26
1579368814,61.24
1579368815,95.88
1579368816,127.53
1579368817,96.67
1579368818,60.52
1579368819,64.88
1579368820,80.54
1579368821,110.76
1579368822,68.09
1579368823,61.01
1579368824,57.87
1579368825,59.28
1579368826,56.46
1579368827,63.08
1579368828,58.0
1579368829,52.4
1579368830,54.95
1579368831,54.76
1579368832,57.15
1579368833,84.08
1579368834,53.67
1579368835,59.9
1579368836,64.91
1579368837,75.24
1579368838,58.69
1579368839,57.44
1579368840,76.35
1579368841,64.52
1579368842,49.97
1579368843,52.33
1579368844,54.07
1579368845,51.05
1579368846,32.05
1579368847,57.93
1579368848,53.81
1579368849,63.47
1579368850,55.08
1579368851,55.21
1579368852,46.4
1579368853,67.11
1579368854,91.75
1579368855,45.94
1579368856,77.33
1579368857,43.02
1579368858,51.51
1579368859,32.29
1579368860,68.94
1579368861,77.79
1579368862,45.97
1579368863,52.56
1579368864,67.9
1579368865,76.48
1579368866,67.76
1579368867,112.92
1579368868,66.42
1579368869,87.23
1579368870,57.97
1579368871,65.96
1579368872,58.16
1579368873,50.89
1579368874,56.39
1579368875,56.72
1579368876,43.19
1579368877,92.67
1579368878,150.08
1579368879,56.75
1579368880,44.79
1579368881,58.03
1579368882,51.45
1579368883,85.07
1579368884,47.78
1579368885,77.46
1579368886,72.88
1579368887,62.1
1579368888,62.98
1579368889,45.65
1579368890,43.68
1579368891,67.08
1579368892,57.64
1579368893,61.08
1579368894,57.67
1579368895,54.03
1579368896,61.9
1579368897,47.09
1579368898,63.73
1579368899,76.81
1579368900,80.94
1579368901,69.07
1579368902,44.3
1579368903,66.42
1579368904,54.26
1579368905,44.66
1579368906,34.8
1579368907,47.25
1579368908,57.7
1579368909,54.43
1579368910,44.73
1579368911,19.19
1579368912,50.56
1579368913,60.39
1579368914,34.93
1579368915,47.78
1579368916,20.22
1579368917,57.9
1579368918,51.51
1579368919,35.88
1579368920,36.27
1579368921,47.84
1579368922,40.7
1579368923,61.83
1579368924,53.94
1579368925,34.8
1579368926,41.03
1579368927,47.48
1579368928,34.9
1579368929,60.69
1579368930,19.01
1579368931,48.82
1579368932,45.88
1579368933,22.13
1579368934,55.25
1579368935,58.79
1579368936,20.59
1579368937,51.15
1579368938,35.06
1579368939,59.38
1579368940,44.27
1579368941,56.39
1579368942,29.05
1579368943,43.19
1579368944,52.4
1579368945,46.99
1579368946,26.62
1579368947,56.23
1579368948,45.35
1579368949,32.42
1579368950,50.56
1579368951,31.97
1579368952,26.84
1579368953,47.48
1579368954,56.43
1579368955,20.23
1579368956,51.25
1579368957,36.44
1579368958,42.5
1579368959,40.57
1579368960,45.97
1579368961,35.19
1579368962,53.05
1579368963,60.98
1579368964,25.2
1579368965,55.71
1579368966,46.17
1579368967,19.25
1579368968,53.05
1579368969,55.18
1579368970,47.25
1579368971,51.38
1579368972,20.92
1579368973,21.09
1579368974,53.9
1579368975,45.74
1579368976,54.59
1579368977,45.84
1579368978,18.91
1579368979,54.43
1579368980,53.25
1579368981,56.59
1579368982,42.99
1579368983,58.56
1579368984,56.79
1579368985,35.19
1579368986,41.75
1579368987,52.89
1579368988,50.4
1579368989,57.18
1579368990,16.84
1579368991,54.2
1579368992,52.43
1579368993,52.3
1579368994,21.0
1579368995,54.49
1579368996,49.41
1579368997,53.51
1579368998,41.29
1579368999,42.96
1579369000,43.45
1579369001,23.72
1579369002,57.21
1579369003,53.12
1579369004,16.24
1579369005,29.28
1579369006,46.73
1579369007,29.85
1579369008,24.46
1579369009,57.08
1579369010,47.15
1579369011,44.5
1579369012,38.8
1579369013,62.29
1579369014,53.12
1579369015,61.83
1579369016,29.08
1579369017,45.32
1579369018,53.71
1579369019,31.38
1579369020,58.49
1579369021,16.84
1579369022,23.64
1579369023,63.5
1579369024,62.32
1579369025,44.11
1579369026,30.24
1579369027,49.61
1579369028,53.25
1579369029,43.55
1579369030,46.14
1579369031,55.12
1579369032,47.22
1579369033,44.4
1579369034,53.67
1579369035,61.15
1579369036,57.02
1579369037,49.02
1579369038,17.79
1579369039,59.9
1579369040,55.97
1579369041,45.15
1579369042,49.02
1579369043,46.24
1579369044,48.27
1579369045,57.64
1579369046,51.61
1579369047,44.63
1579369048,43.71
1579369049,58.03
1579369050,51.87
1579369051,43.25
1579369052,69.34
1579369053,25.64
1579369054,52.72
1579369055,57.21
1579369056,49.91
1579369057,52.1
1579369058,51.51
1579369059,55.54
1579369060,25.61
1579369061,36.63
1579369062,63.11
1579369063,52.56
1579369064,56.66
1579369065,48.63
1579369066,47.42
1579369067,39.39
1579369068,15.45
1579369069,46.76
1579369070,37.81
1579369071,48.96
1579369072,50.23
1579369073,27.08
1579369074,53.9
1579369075,44.34
1579369076,53.58
1579369077,57.41
1579369078,23.92
1579369079,50.36
1579369080,47.91
1579369081,32.51
1579369082,48.01
1579369083,31.6
1579369084,39.12
1579369085,50.79
1579369086,18.76
1579369087,55.02
1579369088,43.25
1579369089,13.78
1579369090,43.78
1579369091,65.7
1579369092,50.99
1579369093,34.6
1579369094,34.57
1579369095,52.79
1579369096,66.32
1579369097,34.05
1579369098,70.32
1579369099,54.36
1579369100,35.13
1579369101,52.0
1579369102,76.09
1579369103,57.25
1579369104,58.98
1579369105,40.96
1579369106,19.91
1579369107,47.38
1579369108,46.69
1579369109,18.35
1579369110,46.14
1579369111,50.82
1579369112,54.56
1579369113,39.85
1579369114,37.49
1579369115,48.17
1579369116,14.64
1579369117,46.4
